category,name,NAMESPACE,FRIENDLY_NAME
Yield Aggregator,Kava Earn,,
Liquid Staking,Kava Liquid,,
Liquid Staking,CRETH2,creamfinance,Creamfinance
Dexes,PancakeSwap StableSwap,pancakeswap,Pancakeswap
Yield,Tetu Earn,tetu_io,Tetu Io
Dexes,Trader Joe DEX,trader_joe,Trader Joe
Cross Chain,Across,across,Across
Lending,MoneyOnChain,,
Lending,Vires Finance,,
Dexes,DODO,dodoex,Dodoex
Dexes,BabyDogeSwap,babydogecoin,Babydogecoin
Lending,Geist Finance,,
Lending,dForce,dforce,Dforce
Dexes,Flamingo Finance,,
Derivatives,ApolloX,apollox,Apollox
Dexes,THENA V1,thena_dex,Thena Dex
Yield Aggregator,ACryptoS,acryptos,Acryptos
Yield Aggregator,Badger DAO,badgerdao,Badgerdao
Bridge,Ad-Astra Bridge,,
Derivatives,MUX Protocol,mux,Mux
Yield Aggregator,Origin Dollar,origin_protocol,Origin Protocol
Bridge,Terra Bridge,terra,Terra
Dexes,Ferro,,
Liquid Staking,Algo Liquid Governance,,
Dexes,Orca,,
Yield,Overnight USD+,overnight,Overnight
Liquid Staking,ether.fi,,
Lending,Flux Finance,fluxfinance,Fluxfinance
Yield Aggregator,Yield Yak Aggregator,yield_yak,Yield Yak
Lending,Canto Lending,,
Indexes,Agility LSD,agilitylsd,Agilitylsd
Lending,Silo Finance,silo_finance,Silo Finance
Cross Chain,pNetwork,pnetwork,Pnetwork
Indexes,unshETH,unsheth,Unsheth
Yield,Tokemak,tokemak,TOKEMAK
Dexes,SyncSwap,sync,Sync
NFT Lending,JPEG'd,jpegd,Jpegd
Bridge,ioTube,,
Lending,Moonwell Artemis,,
Dexes,THENA FUSION,thena_dex,Thena Dex
Lending,Notional,notional,Notional
Dexes,Platypus Finance,platypus_finance,Platypus Finance
Indexes,dHEDGE,dhedge,Dhedge
Insurance,Unslashed,unslashed,Unslashed
Services,SPL Governance,,
Liquid Staking,Stride,,
Dexes,Pangolin,pangolin_exchange,Pangolin Exchange
CDP,Acala Dollar,,
CDP,Reflexer,reflexer,Reflexer
Derivatives,Level Finance,level_finance,Level Finance
Lending,B.Protocol,,
Liquid Staking,Stafi,stafi,Stafi
Lending,Sonne Finance,sonne_finance,Sonne Finance
Options Vault,Jones DAO,jones,Jones
Yield,Vector Finance,vectorfi,Vectorfi
Options Vault,Ribbon,ribbon,Ribbon
Yield Aggregator,Idle,idle,Idle
Derivatives,Keep3r Network,keep3r_network,Keep3r Network
Dexes,ApeSwap AMM,apeswap,Apeswap
Liquid Staking,SharedStake,sharedstake,Sharedstake
Services,CIAN,cian,Cian
Dexes,MojitoSwap,,
Lending,REX Staking,rex,Rex
Dexes,Raydium,raydium,Raydium
Options,Lyra,lyra,Lyra
Dexes,DefiBox,,
Liquid Staking,KLAYstation,,
Cross Chain,Connext,connext,Connext
Dexes,Joe V2.1,,
Synthetics,Youves,,
NFT Lending,NFTfi,nftfi,Nftfi
CDP,Indigo,,
RWA,Lofty,,
Lending,Wing Finance,,
RWA,Tangible,tangible_store,Tangible Store
Dexes,ShibaSwap,shibaswap,Shibaswap
Dexes,iZiSwap,iziswap,Iziswap
Dexes,ALEX,,
Yield,Llama Airforce,llama_airforce_union,Llama Airforce Union
Dexes,OKCSwap,,
Dexes,Ellipsis Finance,ellipsis_finance,Ellipsis Finance
Dexes,SashimiSwap,sashimi,Sashimi
Options,Opyn Gamma,opynfinance,Opynfinance
Derivatives,IPOR,ipor,Ipor
RWA,Toucan Protocol,toucan_protocol,Toucan Protocol
Bridge,RelayChain,relaychain,Relaychain
Lending,Liqee,,
Bridge,RenVM,ren_bridge,Ren Bridge
Options,Dopex,dopex_protocol,Dopex Protocol
Derivatives,ApeX Protocol,apex,Apex
Indexes,Toros,,
Lending,Mare Finance,,
Lending,Iron Bank,ironbank,Ironbank
Dexes,Bancor V2.1,bancor,Bancor
Lending,Parallel Lending,parallel,Parallel
Dexes,Astroport,,
Lending,Solend,,
NFT Marketplace,NFTX,nftx,Nftx
Liquid Staking,Bifrost Liquid Staking,bifrost,Bifrost
Dexes,Swappi,,
CDP,Sovryn Zero,,
CDP,DeFi Franc,defifranc_mon,Defifranc Mon
Dexes,Sovryn Dex,,
Dexes,W3swap,w3swap,W3swap
Leveraged Farming,DeltaPrime,,
Dexes,Cetus,,
Lending,Kleva Lend,,
Lending,Tarot,tarot,Tarot
Dexes,Rhino.fi,rhino_fi,Rhino Fi
CDP,Mimo Protocol,mimo,Mimo
Derivatives,Perpetual Protocol,perpetual,Perpetual
Indexes,LSDx ETHx,lsdx_finance,Lsdx Finance
Dexes,Tezos Liquidity Baking,,
Liquid Staking,NeoBurger,,
Dexes,Arbitrum Exchange,,
Dexes,Maverick Protocol,maverick,Maverick
Yield,Rage Trade,rage_trade,Rage Trade
Dexes,Equalizer Exchange,equalizer,Equalizer
RWA,Aktionariat,,
Dexes,KyberSwap Classic,kyberswap,Kyberswap
Dexes,Meshswap,meshswap,Meshswap
Yield,Solo Top,,
Dexes,Ramses Exchange,ramses,Ramses
Dexes,SaucerSwap,,
Liquid Staking,Stake.ly,,
Dexes,Serum,serum,Serum
Services,The Tokenized Bitcoin,,
Lending,BiFi,,
Lending,Exactly,exactly,Exactly
Lending,Granary Finance,granary_finance,Granary Finance
Yield,Magpie,magpie,Magpie
Yield Aggregator,Sommelier,sommelier,Sommelier
Dexes,WingRiders,,
CEX,Hotbit,,
Lending,Torches,,
Yield Aggregator,LUSD ChickenBonds,,
Dexes,Decryption,,
Dexes,Dfyn Network,dfyn,Dfyn
Dexes,Atrix,,
Dexes,Verse,verse_dex,Verse Dex
Dexes,Ref Finance,,
CDP,Vesta Finance,vesta_finance,Vesta Finance
Yield Aggregator,Autofarm,,
Derivatives,Mummy Finance,mummy_finance,Mummy Finance
CDP,Lybra Finance,lybra_finance,Lybra Finance
CDP,Angle,angle,Angle
Lending,Folks Finance Lending,,
Yield,Francium,,
Liquid Staking,Meta Pool,,
Yield Aggregator,Vesper,vesper,Vesper
Yield,Overnight DAI+,overnight,Overnight
Yield,CLever,clever,Clever
Yield Aggregator,Reaper Farm,reaper_farm,Reaper Farm
Lending,Sturdy,sturdy,Sturdy
Yield,BendDAO APE Staking,bend,Bend
Dexes,Helix,helix,Helix
Yield,Belt Finance,belt_finance,Belt Finance
Services,PoolTogether,pooltogether,Pooltogether
Yield,Pirex,pirex,Pirex
Liquid Staking,sICX,,
Bridge,tBTC,tbtc_v2,Tbtc V2
Dexes,Joe V2,,
Dexes,Shell Protocol,shellprotocol,Shellprotocol
Derivatives,NestFi,nestfi,Nestfi
Yield,PlutusDAO,plutusdao,Plutusdao
CDP,Djed Stablecoin,,
Liquid Staking,ExinPool,,
Liquid Staking,Bifrost Liquid Crowdloan,bifrost,Bifrost
CDP,Reserve,reserve_protocol,Reserve Protocol
Lending,Pando Rings,pando,Pando
Lending,Morpho Compound,morpho_compound,Morpho Compound
Lending,Green Planet,,
CEX,NBX,,
Lending,AAVE V1,aave,Aave
Cross Chain,Wrapped,,
Yield Aggregator,Spool Protocol,,
Dexes,Velocore,,
Dexes,WEMIX.FI AMM,,
Liquid Staking,Jito,,
Lending,Agave,,
Derivatives,Opyn Squeeth,opynfinance,Opynfinance
Yield,Quarry,,
CDP,Yeti Finance,yetifinance,Yetifinance
Yield,WOOFi Earn,woofi,Woofi
Dexes,Ouchi Finance,,
Liquid Staking,Swell,swell,Swell
Yield,Tulip Protocol,,
Lending,Strike,,
Yield Aggregator,GMD Protocol,gmd_protocol,Gmd Protocol
Dexes,Equilibre,,
Yield,Redacted Protocol,redacted,Redacted
Bridge,Injective Bridge,injective_protocol,Injective Protocol
Dexes,SmarDex,,
Derivatives,Pika Protocol,pika_perp,Pika Perp
Dexes,1,,
Liquid Staking,LiNEAR Protocol,,
Dexes,Sushi Trident,,
Liquid Staking,GETH,,
Dexes,StellarX,,
Lending,Liqwid,,
Lending,FilDA,,
Dexes,ArthSwap,arth,Arth
Liquid Staking,Acala Liquid-Staking,,
Liquid Staking,JPool,,
Dexes,ThalaSwap,,
Yield,Sphere Finance,sphere_finance,Sphere Finance
Lending,Lodestar Finance,lodestar,Lodestar
Yield,Dot Dot Finance,dotdot_finance,Dotdot Finance
Privacy,Railgun,railgun,Railgun
Privacy,Aztec,aztec,Aztec
Yield Aggregator,Harvest Finance,harvestfinance,Harvestfinance
Launchpad,Juicebox V1,juicebox,Juicebox
Dexes,Saddle Finance,saddle_finance,Saddle Finance
Yield,Bella Protocol,,
Chain,Nuls,,
Dexes,Megaton Finance,,
Dexes,Clipper,clipper,Clipper
NFT Lending,Blur Lending,blur,Blur
NFT Lending,Arcade xyz,arcadexyz,Arcadexyz
Liquid Staking,Algem,,
Dexes,Velocimeter V2,,
Dexes,Uniswap V1,uniswap,Uniswap
Chain,Secret Network,,
Dexes,1inch Network,oneinch,Oneinch
Launchpad,FlokiFi Locker,flokifi,Flokifi
Dexes,Defi Swap,defiswap,Defiswap
Dexes,Swipe,swipe,Swipe
Algo-Stables,Fei Protocol,fei_protocol,Fei Protocol
Reserve Currency,Olympus DAO,olympusdao,Olympusdao
Yield,Illuvium,illuvium,Illuvium
Payments,Telcoin,telcoin,Telcoin
Services,DAO Maker Vesting,dao_maker,Dao Maker
Gaming,The Sandbox,sandbox,Sandbox
Oracle,API3,api3,Api3
Yield,TreasureDAO,treasure_dao,Treasure Dao
Yield,Bitgert,,
Services,Aragon,aragon,Aragon
Services,BitDAO,bitdao,Bitdao
Services,ENS,ens,Ens
Services,Gnosis DAO,gnosis_safe,Gnosis Safe
Oracle,Chainlink,chainlink,Chainlink
Yield,ApeCoin,apecoin,Apecoin
CEX,MEXC,mexc,Mexc global
Dexes,SUNSwap V1,,
Dexes,PulseX V1,,
CEX,Okcoin,,
Dexes,SUNSwap V2,,
Yield,Tranchess Yield,,
CDP,crvUSD,,
CDP,Raft,raft,Raft
Dexes,PearlFi,,
Yield Aggregator,Origin Ether,origin_protocol,Origin Protocol
CDP,Inverse Finance FiRM,inverse_finance,Inverse Finance
Yield,PenPie,penpie,Penpie
Algo-Stables,Frax FPI,,
Dexes,KyberSwap Elastic,kyber_elastic,Kyber Elastic
Yield,GND Protocol,gnd_protocol,Gnd Protocol
Lending,Alpaca Finance 2.0,alpaca,Alpaca
Bridge,Octus Bridge,,
RWA,Maple RWA,maple,Maple
Dexes,Mute.io,mute_io,Mute Io
Yield,Asymetrix Protocol,asymmetry_finance,Asymmetry Finance
CDP,Gravita Protocol,gravita,Gravita
Liquidity manager,Bunni,bunni,Bunni
Yield,Equilibria,equilibria,Equilibria
Liquid Staking,EigenLayer,eigenlayer,Eigenlayer
Liquidity manager,DefiEdge,defiedge,Defiedge
Lending,Spark,spark,Spark
Dexes,Ramses V1,ramses,Ramses
RWA,OpenEden T-Bills,openeden,Openeden
Lending,Burrow,,
Yield Aggregator,Rari Capital,rari_capital,Rari Capital
Dexes,PulseX V2,,
Liquid Staking,NodeDAO,nodedao,Nodedao
Dexes,Pact,,
Liquid Staking,Tranchess Ether,,
Dexes,LiquidSwap,liquidswap,Liquidswap
Dexes,VyFinance Dex,,
RWA,Solv Protocol V3,solv_protocol,Solv Protocol
Yield,CoinFLEX,,
Derivatives,Vela Exchange,vela,Vela
Liquid Staking,Swapscanner LSD,,
RWA Lending,Centrifuge,centrifuge,Centrifuge
